gX,gY,gZ
-301.5137,-119.1406,68.9087
-285.0952,-146.5454,64.3921
-278.6865,-132.0801,55.6030
-248.2300,-172.3633,47.1802
-225.8301,-141.9678,36.7432
-198.3032,-52.6733,12.7563
-151.3672,-45.7764,8.6670
-66.5894,-43.2129,9.2163
35.5225,30.2124,-9.6436
98.4497,70.9229,-25.8179
139.8926,88.6841,-34.2407
154.9072,92.7124,-34.7290
175.5981,80.0171,-39.4287
189.1479,72.1436,-42.7246
198.6084,52.7344,-38.3911
197.7539,51.0254,-36.5601
210.1440,71.5942,-39.6118
213.6230,36.3770,-34.0576
224.8535,51.5747,-36.9873
201.9043,67.6270,-38.8184
188.4766,47.6074,-34.7290
202.8198,91.0645,-49.1943
140.2588,56.4575,-32.5928
112.3047,-11.3525,-24.4141
120.2393,12.5732,-34.8511
