timestamp,aX,aY,aZ,gX,gY,gZ
122,0.3369,0.0771,0.9755,-39.8560,-36.9873,-39.7949
123,-0.0619,0.0690,0.9207,-23.2544,-16.2964,-54.8096
124,-0.0104,-0.4852,0.8140,17.4561,39.9170,-81.1157
125,-0.2007,-0.7805,0.6682,13.6719,11.2915,-100.7080
126,0.1675,-0.9387,0.8188,52.2461,-21.8506,-102.3560
127,0.2379,-0.6855,0.9476,14.3433,14.8315,-34.1797
128,0.1382,-0.5267,0.8053,7.5684,12.1460,-6.2256
129,0.2195,-0.5303,0.9187,8.4839,-12.9395,-3.8452
130,0.2953,-0.7494,1.0413,-15.5029,-22.5830,27.2217
131,0.1702,-0.9935,0.6686,-32.3486,5.9204,82.8247
132,0.0299,-0.8438,0.7498,-18.9209,-0.3052,114.0747
133,0.0173,-0.4174,0.9757,-0.4883,-14.4653,98.3276
134,0.1652,-0.0909,0.8151,9.2163,12.4512,80.5664
135,0.1848,0.0638,0.8199,45.6543,-34.9731,58.6548
136,0.2280,0.1958,1.0189,25.3906,-38.0859,4.0894
137,0.0118,0.2513,1.3300,25.6958,3.1738,-4.8218
138,0.1653,0.1604,1.0189,-14.7095,30.5786,-12.5732
139,0.3495,0.0963,1.0615,-16.7847,12.8174,-36.3770
140,0.3132,0.1248,0.9667,-4.5776,10.9253,-1.0986
141,0.4186,0.1106,1.0836,-16.4185,3.9062,2.8687
142,0.4418,0.1509,1.0992,-2.3804,-0.1831,8.4839
143,0.2090,0.1302,0.9796,-43.9453,2.4414,-18.9819
144,0.1112,-0.0560,0.8618,-48.2788,-20.5078,-64.0869
145,-0.0789,-0.4905,0.7223,3.4180,-0.2441,-91.1255
146,0.0277,-0.9441,0.7428,47.9736,23.5596,-76.1108
147,0.1692,-0.8298,0.9048,53.2837,9.5825,-68.2373
148,0.2351,-0.6093,0.7997,8.7891,29.9683,-23.1934
149,0.2019,-0.5903,0.9315,11.0474,-10.9863,-11.4136
150,0.3141,-0.6271,0.9634,-2.5635,-16.0522,21.5454
151,0.2347,-0.7422,0.8566,-20.5078,1.3428,43.1519
152,0.0125,-0.8049,0.8097,-26.4282,-3.4790,87.5244
153,0.1334,-0.7546,0.7910,-0.7935,-11.7798,76.5991
154,0.1622,-0.3634,0.7124,-12.2681,0.1221,86.9141
155,0.1251,-0.1910,0.8599,31.8604,-26.0010,69.8853
156,0.2601,-0.1045,0.9178,36.1938,-24.2310,46.8140
157,0.1947,-0.0031,1.2269,63.1714,-37.3535,0.0000
158,0.1155,0.1787,1.1716,7.3853,19.7754,30.7617
159,0.0969,0.2415,0.9918,-33.2642,26.6724,-15.3809
160,0.3706,0.0549,0.9561,-10.8032,-0.9155,-45.4102
161,0.3943,-0.1062,0.9946,-10.3149,6.8359,-5.6763
162,0.3154,0.0963,1.1021,-15.0757,12.5732,18.5547
163,0.3402,0.0707,1.0415,-21.7285,-6.8970,2.3804
164,0.2295,0.0431,1.0349,-26.3062,-5.9814,-17.8223
165,0.0957,-0.1223,0.9343,-26.1230,-7.2021,-63.2324
166,0.0922,-0.4447,0.7828,-20.4468,15.1978,-79.8340
167,-0.0468,-0.6792,0.7052,3.9673,33.3252,-55.6641
168,0.0911,-0.8634,0.7633,38.2690,3.9062,-71.7773
169,0.2734,-0.7151,0.8239,23.3765,54.0161,-46.4478
170,0.2533,-0.5948,0.8350,4.2114,-4.4556,-5.6152
171,0.3335,-0.6570,0.9512,-4.3945,-15.2588,10.1929
172,0.2217,-0.7155,0.8616,2.6245,8.9111,26.4282
173,0.0671,-0.8640,0.7449,-23.0713,4.0894,89.4775
174,0.1965,-0.7225,0.6733,5.4321,-11.9629,87.4023
175,0.1608,-0.3551,0.7114,19.7754,-11.4136,105.9570
176,0.1715,-0.2429,0.8632,33.2031,-48.8281,53.3447
177,0.2142,-0.1313,1.0591,16.6016,-34.7900,14.2822
178,0.2052,-0.1072,1.1709,22.7661,-56.7627,10.7422
179,0.1073,0.1569,1.1437,9.7656,65.4297,58.7158
180,0.1566,0.1462,0.9489,-12.5732,30.8228,-4.2114
181,0.3730,0.0839,0.9149,-11.0474,17.1509,-32.2266
182,0.4531,-0.0229,1.0146,1.0376,-4.9438,-24.7192
183,0.3596,0.0537,1.0848,-7.2021,4.2725,9.8877
184,0.3953,-0.0237,1.1713,-14.6484,-31.8604,-26.1841
185,0.3346,-0.0055,1.1323,-1.7090,-8.7280,-15.0146
186,0.1069,-0.1780,0.7960,-87.2803,-21.4844,-76.4160
187,0.0354,-0.4739,0.6980,-30.2124,44.1284,-65.0635
188,0.0410,-0.7712,0.5645,32.9590,42.6025,-72.1436
189,0.1149,-0.9078,0.9497,46.6919,-46.3867,-90.4541
190,0.2563,-0.6598,0.8639,5.0049,40.1001,-26.7944
