timestamp,aX,aY,aZ,gX,gY,gZ
132,-1.1718,-0.3179,0.4186,356.2622,-271.3623,-105.4688
133,-0.8937,-0.1425,0.3636,150.8789,-260.1318,-47.7295
134,-1.0007,-0.1970,0.1575,172.6074,-155.8838,85.6934
135,-0.7622,-0.2614,-0.2334,126.4038,-109.6191,103.4546
136,-1.0568,-0.5939,-0.1359,104.4312,-69.5190,195.3735
137,-0.7249,-0.9437,-0.2743,3.3569,-19.6533,263.6108
138,-0.4265,-1.2316,-0.1030,-91.8579,45.8374,332.9468
139,-0.2919,-1.1919,-0.0552,-121.2769,107.7271,282.1045
140,-0.0187,-1.3478,0.4435,-194.7021,198.2422,225.3418
141,0.4635,-1.1523,0.6951,-305.6641,118.8354,197.8760
142,0.5824,-0.6149,0.5569,-310.4248,-0.8545,164.9170
143,0.6323,-0.2196,0.6685,-246.6431,9.3994,106.7505
144,0.4364,0.0050,0.2239,-172.9126,-92.7734,114.4409
145,0.6334,0.0974,0.4030,-54.0771,-146.7285,104.9194
146,0.3040,0.4115,1.0402,-11.6577,-141.9678,132.2632
147,-0.0120,0.6200,0.7761,-42.2363,-143.5547,105.1025
148,-0.2822,0.6151,0.5099,-58.2886,-119.6899,80.9326
149,-0.3109,0.5848,0.6075,-2.9297,-91.7969,26.0010
150,-0.3650,0.5461,0.7335,59.3872,-93.8110,-17.1509
151,-0.5217,0.3281,0.4934,147.3389,-187.7441,-55.9082
152,-0.6670,0.0450,0.8204,242.9199,-220.2148,-92.8345
153,-0.9132,-0.1113,0.5679,256.2256,-230.4077,-26.4893
154,-0.9052,-0.1798,0.1555,180.1147,-250.0000,-19.1650
155,-0.8978,-0.2156,0.1257,164.6118,-179.5044,27.0996
156,-0.9923,-0.3033,0.0492,178.3447,-138.6719,103.5156
157,-0.9755,-0.3911,-0.1508,133.3618,-98.7549,158.6304
158,-0.8010,-0.6348,-0.3544,67.5049,-56.1523,173.0347
159,-0.6349,-0.8700,-0.3696,32.5317,-49.4385,168.5791
160,-0.5753,-1.0638,-0.5031,-17.6392,29.8462,286.0107
161,0.0146,-1.1660,0.1504,-155.4565,38.9404,262.6953
162,0.0469,-1.3257,0.0343,-204.1016,113.7085,258.1787
163,0.2734,-1.2208,0.2694,-335.0830,132.0190,195.8008
164,0.5199,-0.8987,0.7145,-396.1792,38.1470,190.5518
165,0.3907,-0.1296,0.5242,-297.7905,47.7905,68.8477
166,0.5652,-0.1609,0.0916,-96.6187,-138.0615,60.0586
167,0.5565,0.1831,0.9185,-20.5078,-168.7012,122.9248
168,0.3021,0.4838,0.8457,-48.1567,-100.4028,99.4873
169,0.1653,0.5842,0.7695,-37.0483,-32.1045,35.9497
170,0.0254,0.5756,0.6610,-41.3818,-92.3462,45.2271
171,-0.1530,0.5918,0.6631,-0.9766,-129.7607,67.7490
172,-0.3549,0.5887,0.4802,43.0908,-133.3618,13.8550
173,-0.5688,0.1462,0.5996,226.6235,-208.5571,-95.5811
174,-0.6884,0.0184,0.7527,200.6836,-186.0962,-44.7998
175,-0.7377,-0.0518,0.5540,152.8931,-187.6831,-51.2085
