gX,gY,gZ
-2.9297,-13.0005,-1.0376
40.3442,532.4707,156.8604
47.9736,613.9526,197.1436
69.8853,653.7476,241.5161
41.6260,484.8022,222.4121
-18.6157,366.3940,162.5366
-26.2451,154.8462,97.6563
-16.2354,5.0659,29.6021
-16.6626,-26.6724,10.3760
-5.8594,-22.3999,1.6479
-11.1694,-35.7056,-8.9111
-6.4087,-12.2681,-3.4180
3.4790,5.1270,-0.6714
-3.2349,-0.2441,-2.9907
3.1128,0.8545,-3.9673
7.0190,-11.6577,-7.9956
-1.7700,7.9346,-0.4272
1.0376,-1.4648,-0.7935
-1.2817,-9.7656,-3.5400
-0.9766,-3.1738,-1.4038
1.0986,-5.7373,0.4883
-1.9531,-5.9204,-1.4648
-7.6294,-20.6909,-3.5400
1.5869,-0.2441,-3.1738
-0.7324,0.0610,-2.7466
-2.1973,-4.8828,-3.1738
3.4180,2.3193,-0.1831
-1.2817,-4.0894,-1.6479
-2.5024,-3.7231,-1.8921
2.7466,5.6763,0.9155
-2.6855,-3.6011,-0.3052
-0.8545,-10.4980,-3.7842
0.0610,-3.2349,-1.2207
29.0527,442.0166,114.0137
70.1294,600.0366,163.9404
66.0400,582.5806,188.5986
62.9272,444.7021,169.1895
12.2070,263.8550,97.0459
9.1553,129.2114,64.5752
-3.1738,39.3677,42.7856
-5.1270,16.6626,23.3154
-5.8594,-12.7563,15.5029
0.7324,12.5732,14.5264
-2.0752,11.4746,3.2959
-10.0098,-5.9204,0.5493
-0.5493,14.7705,3.1738
0.7324,-3.2349,-4.7607
0.2441,13.3667,-1.8311
-5.0659,-5.7373,-1.8921
-2.1973,-6.0425,-4.0283
5.6152,-0.2441,-2.5635
-4.2114,-9.0942,0.1831
-2.0752,8.9111,4.5776
-4.6997,1.0376,5.2490
-1.5869,-8.9111,-1.5869
0.6104,-8.1787,-4.3335
-1.7700,-4.3945,-3.5400
-5.9814,-15.7471,-3.8452
2.0752,0.5493,-5.0659
-3.0518,-0.3052,-3.6621
3.6011,8.3008,-0.9155
4.3945,-2.8687,-3.5400
-2.6245,-5.1880,-1.7090
1.0376,0.0610,-2.0142
-1.1597,-4.8218,-2.8687
35.1563,356.1401,86.9751
28.7476,564.2090,164.8560
52.3682,667.9687,225.2808
59.8755,634.1553,222.4731
4.2114,382.9346,166.0767
-21.1792,232.0557,114.3799
-23.3154,27.5269,38.8184
-6.7749,-13.4888,3.1128
0.0000,-2.2583,0.1831
6.7139,-0.9155,-6.4087
-6.0425,-10.0098,0.8545
-0.4272,16.0522,5.3711
4.5776,13.0615,-1.1597
1.6479,1.1597,-1.8311
1.7700,0.3662,-2.5635
3.1128,-5.4932,-2.6855
-3.2349,-9.2163,-1.7700
0.6104,-7.8735,-4.3945
-1.7700,-11.5967,-3.5400
0.4883,-5.3101,-1.9531
1.1597,-7.1411,-3.3569
-2.8687,1.2207,0.7324
2.9907,-3.2959,0.4272
8.4229,-2.9297,-3.0518
-2.8687,3.1128,-0.3662
1.1597,-2.3804,-1.4648
-0.4272,2.1973,-2.8687
-1.8311,-10.9863,-4.3335
-3.0518,-0.1831,-3.2349
-0.3052,0.8545,-0.9155
-0.2441,-13.1226,-3.2959
-1.2207,1.5869,-0.4883
24.4141,300.4150,81.1768
23.7427,482.9712,150.2686
50.5981,588.5620,183.4106
66.4673,527.0386,212.8296
44.6167,456.9702,198.9136
15.7471,328.6133,159.9731
-21.3013,151.9165,97.5342
-16.1743,71.1670,49.7437
-14.5874,33.8135,25.4517
-8.6060,2.3804,7.2632
-13.6108,-34.7900,-6.1646
-2.7466,-1.7090,-3.2349
-4.0283,-18.6157,-7.8125
-2.0142,0.0000,-8.1177
2.2583,0.6104,-3.5400
0.1831,-0.3662,-4.8828
9.7656,6.5308,-2.5635
0.4272,-11.9019,-5.3101
-1.2207,-6.1035,-3.8452
0.2441,-5.0049,-1.2817
0.2441,-5.1880,-3.1128
-3.1128,-4.2114,-0.2441
2.0142,-2.5635,-0.8545
-1.8921,-7.6904,-3.2959
-2.3193,-1.0376,-0.3662
0.7935,-4.4556,-0.9766
-5.0659,-9.1553,-3.2349
-3.3569,3.2959,3.4180
-4.0894,-8.1177,-3.1128
-3.3569,-10.4370,-1.7700
6.1646,1.0986,0.1831
0.7935,-3.7231,-2.9907
-8.6670,320.0073,88.8062
23.9258,499.2676,135.7422
43.4570,598.3887,164.6729
38.6963,557.7393,159.7900
53.1616,470.8862,135.3760
13.7939,265.8691,100.6470
-12.0850,50.4761,48.1567
8.6060,16.2964,22.5220
7.6904,9.2773,9.4604
-10.7422,-31.9824,4.2725
-1.8311,-9.1553,1.3428
-2.5024,-24.7803,-2.4414
-6.1035,-2.0142,-3.9062
4.9438,-0.7935,-1.5869
1.1597,-6.8359,-3.1128
-1.0986,-0.7935,-5.3101
3.2349,-4.6997,-5.0659
1.9531,-4.4556,-2.5635
2.0142,0.6714,-2.8687
0.4883,-2.7466,0.4883
-6.5308,-9.0942,0.5493
-0.0610,-1.4648,0.0610
0.0000,-9.5825,-4.3945
-8.4839,-11.3525,-2.3193
4.2725,2.0142,-2.1973
-5.3711,-5.9204,-3.5400
-0.4883,7.0801,3.2959
0.6104,1.7090,-1.1597
-7.6294,-15.0757,-4.7607
2.9297,7.3853,1.7700
2.1362,0.2441,-0.4883
-6.2256,-11.7798,-0.6714
51.3306,373.2300,94.4824
49.3774,487.4268,145.8130
50.2930,510.5591,172.2412
55.2979,406.9214,177.5513
18.4326,316.4062,166.8091
12.5732,242.3096,140.2588
5.6152,116.7603,86.9751
5.9814,99.6094,78.3691
-8.8501,42.0532,47.1191
-14.1602,-29.4800,3.3569
-4.8218,2.4414,3.4790
-6.8359,-10.4370,-8.1787
-11.6577,-24.7192,-11.8408
3.6621,-1.5259,-4.0894
0.4272,-10.3149,-8.2397
-3.2959,-8.6670,-7.2021
3.7231,-10.0708,-9.7046
-1.0986,-27.0386,-11.9629
-2.7466,-15.6860,-9.2773
4.9438,-0.8545,-3.7842
-3.1738,-7.6904,-5.8594
-4.5166,-13.9160,-5.9814
6.4087,-3.2349,-3.9062
-5.0659,-5.7983,-4.3945
