gX,gY,gZ
32.8369,-111.4502,-50.2930
28.5034,-46.2646,-10.1318
225.7690,-258.9722,165.8325
231.6895,-231.1401,304.4434
140.0757,-168.0908,251.7700
84.7778,-137.4512,218.4448
84.5337,-127.9297,273.0103
77.3926,-132.5684,269.4702
10.0098,-95.7642,234.4360
-14.9536,-71.7773,275.0854
-67.3828,-63.1104,257.3242
-88.4399,-64.2090,240.6006
-214.5386,-0.6104,315.7349
-183.4106,31.3110,351.3794
-156.2500,20.2026,305.6641
-283.3862,-29.6631,268.9819
-250.4272,-78.5522,192.5659
-282.5317,-158.0811,117.7368
-299.4995,-150.6958,72.8760
-266.6626,-189.3921,34.6069
-287.6587,-288.5132,15.0757
-245.1172,-235.4736,1.5259
-216.5527,-205.0781,-4.4556
-179.5654,-266.2354,11.7187
-135.6201,-203.4302,15.9302
-102.9663,-175.0488,6.7749
-22.7661,-181.6406,-29.8462
28.8696,-127.3193,-56.5186
43.9453,-129.8218,-75.0732
92.4072,-111.4502,-79.7729
134.9487,-103.7598,-82.9468
135.2539,-88.0127,-57.6172
58.3496,-33.4473,-10.4370
-5.8594,-13.4888,16.5405
237.2437,-296.6309,142.4561
265.5640,-236.2061,254.1504
202.2095,-206.1768,270.0806
162.0483,-165.3442,279.6021
97.9004,-133.7280,228.2715
71.6553,-126.0986,220.6421
71.1060,-110.8398,233.5815
-5.4321,-90.1489,198.9136
-3.8452,-77.3926,208.2520
-75.1953,-65.0024,225.5249
-134.5825,-41.3818,267.2119
-147.8271,-45.0439,228.8818
-225.0977,-24.5972,269.7144
-230.1025,29.3579,336.4868
-288.0249,-49.3774,236.6943
-365.2344,-135.0098,170.2881
-310.4858,-96.9849,159.9121
-252.3193,-121.3379,68.1152
-327.2095,-283.3252,13.6108
-294.0674,-246.4600,6.6528
-249.2065,-196.9604,-11.3525
-206.1157,-178.1616,-1.6479
-172.3633,-153.6255,-0.3662
-140.1367,-204.7729,-8.7280
-119.7510,-161.0718,8.7280
-41.3818,-123.2910,-33.1421
-29.2969,-115.7227,-49.1943
-47.2412,-98.4497,-15.2588
-3.3569,-101.9287,-25.8179
42.7246,-67.8101,-34.7290
15.9912,-48.2788,-1.0376
25.0244,-32.2266,2.5024
344.1162,-287.9639,148.7427
267.2119,-247.2534,184.2651
141.4185,-178.9551,122.8638
99.5483,-139.8926,153.8086
109.0698,-125.9766,217.1021
56.3354,-97.1680,188.2324
74.2798,-97.4731,236.3892
45.1050,-87.7075,223.4497
-23.1934,-69.7021,222.9614
-68.5425,-57.1289,273.3765
-106.7505,-43.8843,267.7612
-201.7212,-0.1221,265.9912
-233.6426,18.8599,248.9014
-298.7671,-15.8081,221.0083
-308.8989,-45.5322,198.4253
-247.4976,-68.2373,146.6675
-227.6001,-52.3071,143.4937
-209.8999,-89.7217,87.4634
-187.1948,-116.1499,62.3169
-189.0259,-47.8516,52.0630
-190.7349,-108.8257,17.8223
-206.5430,-167.4805,6.0425
-203.8574,-133.4229,12.7563
-162.1094,-162.4756,4.3945
-158.5693,-191.8335,-10.0708
-121.9482,-188.2324,8.1177
-83.8623,-192.0776,-0.1831
-15.6860,-115.0513,-28.6865
-5.4321,-77.8198,-39.1846
3.9673,-77.0264,-25.4517
0.8545,-26.5503,2.8076
-4.4556,-31.0669,4.4556
273.9868,-230.5298,110.5957
276.0620,-221.9238,151.9775
160.6445,-185.1196,155.0903
108.9478,-138.9160,182.7393
99.1821,-136.3525,190.3687
89.6606,-125.2441,209.0454
59.8755,-107.4829,179.9316
59.2651,-106.6284,186.5845
15.4419,-86.5479,161.4380
-13.0615,-79.1626,187.5000
-57.5562,-58.7158,229.4312
-168.0908,-48.9502,242.8589
-231.2012,-10.0708,297.3633
-240.2954,24.1089,296.4478
-332.8857,4.5166,251.0986
-381.7139,-58.4106,161.4380
-380.4932,-219.4214,63.5986
-338.0127,-82.6416,31.7993
-336.9751,-176.8188,-3.0518
-259.8267,-137.8784,-6.9580
-211.7310,-63.5376,-16.3574
-180.7861,-106.4453,0.9766
-144.8364,-74.7681,5.9814
-145.3247,-119.9341,-0.6104
-106.6895,-119.1406,-7.3853
-111.5112,-131.7139,0.4883
-48.7061,-143.5547,-22.7051
-26.1841,-109.3140,-26.1841
-14.6484,-99.9756,-20.2637
18.1885,-51.5747,-11.5356
-6.2256,-21.2402,2.0752
1.5869,-16.9067,-0.6104
350.0366,-267.7002,97.1680
303.8330,-259.7046,109.8633
215.2100,-201.1108,133.4229
118.6523,-153.6865,140.0757
89.2944,-127.5635,168.7622
68.1152,-118.4692,133.4839
57.8613,-115.3564,153.5034
45.8374,-108.1543,208.1909
-17.7002,-88.3179,217.9565
-57.4341,-64.3921,239.2578
-142.8223,-49.9268,197.0215
-215.1489,-26.2451,218.0176
-221.8018,8.3008,210.5103
-250.3052,26.0620,217.5903
-240.1733,58.2275,235.7178
-203.9185,68.2373,186.9507
-268.6768,31.6772,157.8979
-293.2739,-57.8613,142.5781
-265.9912,-117.0044,66.9556
-288.8794,-138.0615,45.3491
-277.7710,-163.8184,13.5498
-265.3198,-192.6270,11.5356
-227.1729,-180.0537,27.5269
-172.5464,-192.9321,13.0005
-134.2163,-196.3501,0.3662
-81.2378,-144.1040,-6.1035
-50.6592,-102.7832,-4.0894
-12.4512,-78.8574,-9.2163
15.4419,-30.3955,7.9956
10.1929,-25.2075,8.7891
12.0850,-27.0996,-2.5024
14.1602,-4.7607,0.1221
296.7529,-308.0444,49.9268
392.7612,-293.6401,244.4458
